Type,Name,Ra,Dec,Rotation,ROI
Nebula,M1 Crab Nebula,5h 34m 30s,"+22° 01' 00""",0,100
Stellar,M2,21h 33m 30s,"-00° 49' 00""",0,100
Stellar,M3,13h 42m 12s,"+28° 23' 00""",0,100
Stellar,M4,16h 23m 36s,"-26° 32' 00""",0,100
Stellar,M5,15h 18m 36s,"+02° 05' 00""",0,100
Stellar,M6 Butterfly Cluster,17h 40m 6s,"-32° 13' 00""",0,100
Stellar,M7 Ptolemy's Cluster,17h 53m 54s,"-34° 49' 00""",0,100
Nebula,M8 Lagoon Nebula,18h 3m 48s,"-24° 23' 00""",0,100
Stellar,M9,17h 19m 12s,"-18° 31' 00""",0,100
Stellar,M10,16h 57m 6s,"-04° 06' 00""",0,100
Stellar,M11 Wild Duck Cluster,18h 51m 6s,"-06° 16' 00""",0,100
Stellar,M12,16h 47m 12s,"-01° 57' 00""",0,100
Stellar,M13 Great Hercules Globular,16h 41m 42s,"+36° 28' 00""",0,100
Stellar,M14,17h 37m 36s,"-03° 15' 00""",0,100
Stellar,M15 Great Pegasus Globular,21h 30m 0s,"+12° 10' 00""",0,100
Stellar,M16 Eagle Nebula,18h 18m 48s,"-13° 47' 00""",0,100
Nebula,M17 Omega Nebula,18h 20m 48s,"-16° 11' 00""",0,100
Stellar,M18,18h 19m 54s,"-17° 08' 00""",0,100
Stellar,M19,17h 2m 36s,"-26° 16' 00""",0,100
Nebula,M20 Trifid Nebula,18h 2m 36s,"-23° 02' 00""",0,100
Stellar,M21,18h 4m 36s,"-22° 30' 00""",0,100
Stellar,M22 Sagittarius Cluster,18h 36m 24s,"-23° 54' 00""",0,100
Stellar,M23,17h 56m 48s,"-19° 01' 00""",0,100
Stellar,M24 Sagittarius Star Cloud,18h 16m 54s,"-18° 30' 00""",0,100
Stellar,M25,18h 31m 36s,"-19° 15' 00""",0,100
Stellar,M26,18h 45m 12s,"-09° 24' 00""",0,100
Nebula,M27 Dumbbell Nebula,19h 59m 36s,"+22° 43' 00""",0,100
Stellar,M28,18h 24m 30s,"-24° 52' 00""",0,100
Stellar,M29,20h 23m 54s,"+38° 32' 00""",0,100
Stellar,M30,21h 40m 24s,"-23° 11' 00""",0,100
Stellar,M31 Andromeda Galaxy,0h 41m 48s,"+41° 16' 00""",0,100
Stellar,M32 Satellite of M31,0h 42m 48s,"+40° 52' 00""",0,100
Stellar,M33 Triangulum Galaxy,1h 33m 54s,"+30° 39' 00""",0,100
Stellar,M34,2h 42m 0s,"+42° 47' 00""",0,100
Stellar,M35,6h 8m 54s,"+24° 20' 00""",0,100
Stellar,M36,5h 36m 6s,"+34° 08' 00""",0,100
Stellar,M37,5h 52m 24s,"+32° 33' 00""",0,100
